読み	方言	標準語	標準語の読み	地域
もみない	もみない	【味ない・美味しくない】	あじない・おいしくない	京都
ももける	ももける	【毛羽立つ】	けばだつ	京都
やにこい	やにこい	【壊れやすい】	こわれやすい	京都
ややこしい	ややこしい	【こみいった・複雑な】	こみいった・ふくざつな	京都
よぉいわんわ	よぉいわんわ	【何を言っているの！】	なにをいっているの	京都
よし	〜よし	【〜したらどう？】	〜したらどう	京都
よろしおあがりやす	よろしおあがりやす	【どうぞお召し上がりください・お粗末でした】	どうぞおめしあがりください・おそまつでした	京都
わや	わや	【台無し・無茶なこと】	だいなし・むちゃなこと	京都
ん・へん	〜ん・〜へん	【〜しない】	〜しない	京都
あいそ	あいそ	【愛想】	あいそ	大阪
あかんたれ	あかんたれ	【弱虫・駄目な奴】	よわむし・だめなやつ	大阪
あほくさい	あほくさい	【馬鹿馬鹿しい】	ばかばかしい	大阪
あらしょ	あらしょ	【あるじゃないか】	あるじゃないか	大阪
あんじょー	あんじょー	【うまく・上手に】	うまく・じょうずに	大阪
いかーしめへん	いかーしめへん	【行きはしません】	いきはしません	大阪
いけず	いけず	【意地悪】	いじわる	大阪
いちびる	いちびる	【ふざける】	ふざける	大阪
いてこます	いてこます	【やっつける】	やっつける	大阪
いてる	いてる	【いる】	いる	大阪
いのく	いのく	【動く】	うごく	大阪
いらち	いらち	【落ち着きのないこと】	おちつきのないこと	大阪
いんじゃんほい	いんじゃんほい	【じゃんけんをする時のかけ声】	じゃんけんをするときのかけごえ	大阪
うっとこ	うっとこ	【私のところ・私の家】	わたしのところ・わたしのいえ	大阪
えげつない	えげつない	【ひどい・悪い】	ひどい・わるい	大阪
おいえ	おいえ	【そうだ・そのとおり】	そうだ・そのとおり	大阪
おかん	おかん	【お母さん】	おかあさん	大阪
おがる	おがる	【叫ぶ・呼ぶ】	さけぶ・よぶ	大阪
おます	おます	【あります】	あります	大阪
おもろい	おもろい	【面白い】	おもしろい	大阪
おもんない	おもんない	【おもしろくない】	おもしろくない	大阪
おーきに	おーきに	【ありがとう】	ありがとう	大阪
かめへん	かめへん	【かまわない】	かまわない	大阪
かんてき	かんてき	【七輪】	しちりん	大阪
かんにん	かんにん	【ごめん】	ごめん	大阪
けったいな	けったいな	【奇妙な・変な】	きみょうな・へんな	大阪
けなりー	けなりー	【うらやましい】	うらやましい	大阪
こすい	こすい	【ずるい・狡猾な】	ずるい・こうかつな	大阪
こそばす	こそばす	【くすぐる】	くすぐる	大阪
〜さかい	〜さかい	【〜から・〜ので】	〜から・〜ので	大阪
さよか	さよか	【そうか】	そうか	大阪
しょーもない	しょーもない	【くだらない】	くだらない	大阪
せわしない	せわしない	【忙しい】	いそがしい	大阪
ちゃう	ちゃう	【違う】	ちがう	大阪
〜ちゃーる	〜ちゃーる	【〜ている】	〜ている	大阪
てれこ	てれこ	【互い違い】	たがいちがい	大阪
なおす	なおす	【片付ける・仕舞う】	かたづける・しまう	大阪
〜なはれ	〜なはれ	【〜なさい】	〜なさい	大阪
なんぎや	なんぎや	【困難だ・難儀だ】	こんなんだ・なんぎだ	大阪
なんしか	なんしか	【何しろ】	なにしろ	大阪
なんぼ	なんぼ	【いくら・どれくらい】	いくら・どれくらい	大阪
にくそい	にくそい	【憎らしい】	にくらしい	大阪
にっちょ	にっちょ	【日曜】	にちよう	大阪
にぬき	にぬき	【ゆで卵】	ゆでたまご	大阪
〜ねん	〜ねん	【〜のだ】	〜のだ	大阪
〜はる	〜はる	【〜なさる】	〜なさる	大阪
へてから	へてから	【それから】	それから	大阪
まいっぺん	まいっぺん	【もう一度】	もういちど	大阪
めっちゃ	めっちゃ	【たいへん・非常に】	たいへん・ひじょうに	大阪
めばちこ	めばちこ	【ものもらい】	ものもらい	大阪
もむない	もむない	【まずい】	まずい	大阪
〜やす	〜やす	【〜です】	〜です	大阪
やつす	やつす	【おめかしする・化粧する】	おめかしする・けしょうする	大阪
ややこ	ややこ	【赤ん坊】	あかんぼう	大阪
〜やんか	〜やんか	【〜じゃないか】	〜じゃないか	大阪
よってに	よってに	【から・ので】	から・ので	大阪
わや	わや	【無茶苦茶】	むちゃくちゃ	大阪
わらかす	わらかす	【笑わす】	わらわす	大阪
〜がな	〜がな	【〜ではないか・〜じゃない】	〜ではないか・〜じゃない	大阪
がめつい	がめつい	【けちな】	けちな	大阪
ぎょーさん	ぎょーさん	【たくさん】	たくさん	大阪
げっと	げっと	【びり】	びり	大阪
ごっかぶり	ごっかぶり	【ごきぶり】	ごきぶり	大阪
ごわへん	ごわへん	【ございません】	ございません	大阪
ごんたくれ	ごんたくれ	【腕白・いたずらっ子】	わんぱく・いたずらっこ	大阪
じゅんさいな	じゅんさいな	【いい加減な】	いいかげんな	大阪
じょら	じょら	【あぐら】	あぐら	大阪
ずぼら	ずぼら	【無精・じだらく・投げやり】	ぶしょう・じだらく・なげやり	大阪
だんない	だんない	【構わない・差し支えない】	かまわない・さしつかえない	大阪
でぼちん	でぼちん	【おでこ】	おでこ	大阪
どない	どない	【どう・どのように】	どう・どのように	大阪
どんならん	どんならん	【どうにもならない】	どうにもならない	大阪
べべ	べべ	【びり】	びり	大阪
ぼちぼち	ぼちぼち	【少しずつ】	すこしずつ	大阪
かんかん	かんかん	【空き缶】	あきかん	北海道
がんがん	がんがん	【空き缶】	あきかん	北海道
かんから	かんから	【空き缶】	あきかん	栃木県
かんから	かんから	【空き缶】	あきかん	群馬県
かんから	かんから	【空き缶】	あきかん	新潟県
かんかん	かんかん	【空き缶】	あきかん	愛知県
かんかん	かんかん	【空き缶】	あきかん	京都府
かんかん	かんかん	【空き缶】	あきかん	大阪府
ぐぁんがら	ぐぁんがら	【空き缶】	あきかん	熊本県
かんからー	かんからー	【空き缶】	あきかん	沖縄県
あご	あご	【顎】	あご	北海道
おどげ	おどげ	【顎】	あご	青森県
あぎた	あぎた	【顎】	あご	岩手県
おどげ	おどげ	【顎】	あご	宮城県
おどげ	おどげ	【顎】	あご	秋田県
おどがえ	おどがえ	【顎】	あご	山形県
おどげ	おどげ	【顎】	あご	福島県
あご	あご	【顎】	あご	茨城県
あぐ	あぐ	【顎】	あご	栃木県
あぐ	あぐ	【顎】	あご	群馬県
あぐ	あぐ	【顎】	あご	埼玉県
あご	あご	【顎】	あご	千葉県
あご	あご	【顎】	あご	東京都
あご	あご	【顎】	あご	神奈川県
あご	あご	【顎】	あご	新潟県
あご	あご	【顎】	あご	富山県
あご	あご	【顎】	あご	石川県
あごた	あごた	【顎】	あご	福井県
あご	あご	【顎】	あご	山梨県
あご	あご	【顎】	あご	長野県
あご	あご	【顎】	あご	岐阜県
あご	あご	【顎】	あご	静岡県
あご	あご	【顎】	あご	愛知県
あご	あご	【顎】	あご	三重県
あご	あご	【顎】	あご	滋賀県
おとがい	おとがい	【顎】	あご	京都府
おとがい	おとがい	【顎】	あご	大阪府
あご	あご	【顎】	あご	兵庫県
あごた	あごた	【顎】	あご	奈良県（広陵町）
あご	あご	【顎】	あご	和歌山県
あご	あご	【顎】	あご	鳥取県
おとんげ	おとんげ	【顎】	あご	島根県
おとげ	おとげ	【顎】	あご	島根県
あごた	あごた	【顎】	あご	岡山県
あぎ	あぎ	【顎】	あご	広島県
あぎと	あぎと	【顎】	あご	広島県
あご	あご	【顎】	あご	山口県
あぎと	あぎと	【顎】	あご	徳島県
あげと	あげと	【顎】	あご	香川県
あぎと	あぎと	【顎】	あご	愛媛県
あぎ	あぎ	【顎】	あご	高知県
あごたん	あごたん	【顎】	あご	福岡県
あごたん	あごたん	【顎】	あご	佐賀県
あぎ	あぎ	【顎】	あご	長崎県
あご	あご	【顎】	あご	熊本県
あご	あご	【顎】	あご	大分県
あご	あご	【顎】	あご	宮崎県
あご	あご	【顎】	あご	鹿児島県
うとぅげー	うとぅげー	【顎】	あご	沖縄県
あとさりこっこんじょう	あとさりこっこんじょう	【蟻地獄】	ありじごく	北海道
あどじゃらむす	あどじゃらむす	【蟻地獄】	ありじごく	青森県
あとざりむし	あとざりむし	【蟻地獄】	ありじごく	青森県
さらこ	さらこ	【蟻地獄】	ありじごく	青森県
うしあな	うしあな	【蟻地獄】	ありじごく	岩手県
